key,input_height,input_width,output_height,output_width,size_group,psnr,ssim,inference_time_ms
001553,128,128,256,256,128x128_to_256x256,21.3824820298414,0.4889614496415553,0.12620000052265823
001561,128,128,256,256,128x128_to_256x256,21.813241555173363,0.6103733436687506,0.13309999849298038
001564,128,128,256,256,128x128_to_256x256,25.879521059473287,0.6731746152437728,0.13939999917056412
001572,128,128,256,256,128x128_to_256x256,19.645721767699897,0.6265752680036528,0.13330000001587905
001573,128,128,256,256,128x128_to_256x256,19.080331446775126,0.6472463127559239,0.1415999995515449
001579,128,128,256,256,128x128_to_256x256,32.01494658851787,0.7937677607041598,0.14970000120229088
001595,128,128,256,256,128x128_to_256x256,21.02264572636458,0.2651453353845038,0.14659999942523427
001602,128,128,256,256,128x128_to_256x256,22.02897313726534,0.7125064373353236,0.15279999934136868
001610,128,128,256,256,128x128_to_256x256,24.032626333580538,0.7438604489070706,0.12969999988854397
001621,128,128,256,256,128x128_to_256x256,20.806098139079076,0.3156343461500011,0.1298000006499933
001623,128,128,256,256,128x128_to_256x256,22.137728934060753,0.34703291517325385,0.12509999942267314
001626,128,128,256,256,128x128_to_256x256,21.41250852740233,0.5067249743758054,0.1250000004802132
001630,128,128,256,256,128x128_to_256x256,24.305646217178673,0.7316166548344893,0.1216000000567874
001633,128,128,256,256,128x128_to_256x256,22.19619760830019,0.3209076357560614,0.16110000069602393
001649,128,128,256,256,128x128_to_256x256,26.35941341057366,0.621199548543456,0.14179999925545417
001658,128,128,256,256,128x128_to_256x256,21.651579421485067,0.6004813774693175,0.1422000004822621
001661,128,128,256,256,128x128_to_256x256,22.618042299813705,0.5966522292139665,0.13779999972030055
001669,128,128,256,256,128x128_to_256x256,18.827327040023523,0.3541311102819422,0.13050000052317046
001672,128,128,256,256,128x128_to_256x256,26.325282686647803,0.7903328970720763,0.13749999925494194
001679,128,128,256,256,128x128_to_256x256,23.77823782687061,0.6455277112506875,0.17899999875226058
001697,128,128,256,256,128x128_to_256x256,29.00969371812021,0.6309252159323115,0.15979999989212956
001726,128,128,256,256,128x128_to_256x256,20.40023626108511,0.5455587527738128,0.12710000009974465
001732,128,128,256,256,128x128_to_256x256,25.827341512437066,0.5463871839084835,0.1953999999386724
001733,128,128,256,256,128x128_to_256x256,26.619129410907604,0.6604730452261446,0.1305999994656304
001735,128,128,256,256,128x128_to_256x256,29.545785479554567,0.7474103933910634,0.12559999959194101
001737,128,128,256,256,128x128_to_256x256,24.728437589559977,0.7309120188282752,0.13160000162315555
001742,128,128,256,256,128x128_to_256x256,25.055294191616582,0.7531998786631205,0.14490000103251077
001746,128,128,256,256,128x128_to_256x256,18.138286709882998,0.2946733135581939,0.13490000128513202
001775,128,128,256,256,128x128_to_256x256,24.533003797409453,0.6552677947102385,0.14010000086273067
001786,128,128,256,256,128x128_to_256x256,21.668112044334254,0.5817659217017184,0.12770000103046186
001793,128,128,256,256,128x128_to_256x256,18.689912274842275,0.33937796286938776,0.12620000052265823
001802,128,128,256,256,128x128_to_256x256,25.77706403035841,0.5185840592221699,0.1432999997632578
001809,128,128,256,256,128x128_to_256x256,32.37415789062324,0.8814753023233711,0.14990000090620015
001810,128,128,256,256,128x128_to_256x256,31.79761617136906,0.8830143936062883,0.16909999976633117
001815,128,128,256,256,128x128_to_256x256,21.03615275109048,0.6470175290712721,0.14040000132808927
001824,128,128,256,256,128x128_to_256x256,23.85069174275734,0.6768449817916246,0.13140000010025688
001836,128,128,256,256,128x128_to_256x256,21.83815846978396,0.6547451705219755,0.13579999904322904
001842,128,128,256,256,128x128_to_256x256,25.34336939221062,0.665379631947353,0.12799999967683107
001856,128,128,256,256,128x128_to_256x256,29.279284735662646,0.673968315353456,0.12849999984609894
001861,128,128,256,256,128x128_to_256x256,21.81963154530337,0.2680558188556871,0.13020000005781185
001880,128,128,256,256,128x128_to_256x256,21.626945957503622,0.5497163149019269,0.14069999997445848
001885,128,128,256,256,128x128_to_256x256,19.183107536010194,0.10635657816616678,0.13800000124319922
001896,128,128,256,256,128x128_to_256x256,21.886057182274932,0.5638598914053167,0.12170000081823673
001900,128,128,256,256,128x128_to_256x256,26.404652881909797,0.7237182083729092,0.1320000010309741
001901,128,128,256,256,128x128_to_256x256,27.020569685440098,0.7766479121324106,0.13810000018565916
001911,128,128,256,256,128x128_to_256x256,27.97027099512028,0.7451856138740182,0.13630000103148632
001915,128,128,256,256,128x128_to_256x256,23.769284259677626,0.6652281711887233,0.1236000007338589
001941,128,128,256,256,128x128_to_256x256,22.542721861185914,0.7127713399242004,0.13419999959296547
001949,128,128,256,256,128x128_to_256x256,24.598439547720673,0.812449881842752,0.1269999993382953
001951,128,128,256,256,128x128_to_256x256,24.730011559083096,0.8251136527175051,0.12400000014167745
001954,128,128,256,256,128x128_to_256x256,34.77784694672745,0.9224940309319496,0.13170000056561548
001956,128,128,256,256,128x128_to_256x256,19.75153266385954,0.5118620212336739,0.15270000039890874
001967,128,128,256,256,128x128_to_256x256,22.1538603048015,0.5796286080869314,0.14320000082079787
001969,128,128,256,256,128x128_to_256x256,22.047707958607788,0.29495422313478775,0.12990000141144264
001970,128,128,256,256,128x128_to_256x256,20.259483034150136,0.20511142323960713,0.13589999980467837
001987,128,128,256,256,128x128_to_256x256,20.783346211577577,0.23918007142731304,0.14179999925545417
001992,128,128,256,256,128x128_to_256x256,20.084460396838946,0.1193745076246371,0.14270000065153
001994,128,128,256,256,128x128_to_256x256,22.251770942763404,0.6328596692134174,0.13279999984661117
002001,128,128,256,256,128x128_to_256x256,22.900877424422287,0.34126176359818183,0.134599999000784
002011,128,128,256,256,128x128_to_256x256,21.54769251667616,0.29739761820140875,0.13630000103148632
002015,128,128,256,256,128x128_to_256x256,26.986304262516537,0.777641449694585,0.12689999857684597
